NHS Board / Practice Code,No. of GPs,Address Line 1,Address Line 2,Address Line 3,Address Line 4,Postcode,Telephone Number,List Size
30913,9,Old Aberdeen Medical Practice,12 Sunnybank Road,Aberdeen,0,AB24 3NG,01224 486702,10708
30951,11,Rubislaw Place Medical Group,Rubislaw Medical Group,7 Rubislaw Place,Aberdeen,AB10 1QB,01224 641968,8783
30971,9,Carden Medical Centre,"Carden House, Carden Place",Aberdeen,Aberdeenshire,AB10 1UT,0345 3376330,8755
31009,7,Victoria Street Medical Group,7 Victoria Street,Aberdeen,0,AB10 1QW,01224 641930,7233
31141,11,Woodside Medical Group,Woodside Fountain Health Centre,Great Northern Road,Aberdeen,AB24 2AS,01224 492828,10925
31206,9,Scotstown Medical Group,Cairnfold Road,Bridge Of Don,Aberdeen,AB22 8LD,01224 702149,12461
31211,9,Gilbert Road Medical Group,39 Gilbert Road,Bucksburn,Aberdeen,AB21 9AN,01224 712138,9837
31230,5,Cults Medical Group,South Avenue,Cults,Aberdeen,AB15 9LQ,0345 337 1140,7202
31244,6,Peterculter Medical Practice,Peterculter Health Centre,Coronation Road,Peterculter,AB14 0RQ,01224 733535,8104
31259,5,Danestone Medical Practice,Fairview Street,Danestone,Aberdeen,AB22 8ZP,01224 822866,4938
31333,4,Camphill Medical Practice,Murtle Estate,Bieldside,Aberdeen,AB15 9EP,01224 868935,1454
31418,4,Deveron Medical Practice,Deveron Medical Group,"The Health Centre, Fife Street",Banff,AB45 1JD,03453379933,6289
31437,2,Macduff Medical Practice,Macduff Health Clinic,100 Duff Street,Macduff,AB44 1PR,01261 833777,5916
31456,3,An Caorann Medical Practice,Portsoy Surgery,16 Seafield Terrace,Portsoy,AB45 2GB,03453379966,5126
31511,3,Finlayson Street Practice,Finlayson Street Surgery,33 Finlayson Street,Fraserburgh,AB43 9JW,01346 518088,9776
31531,5,Central Buchan Medical Practice,Central Buchan Medical Group,School Street,New Pitsligo,AB43 6NE,01771 653205,6314
31545,4,Saltoun Surgery,Lochpots Road,Fraserburgh,Aberdeenshire,AB43 9NH,01346 514154,8688
31601,2,Crimond Medical Centre,Crimond,Fraserburgh,Aberdeenshire,AB43 8QJ,01346 532215,3287
31615,4,Cruden Medical Group,Main Street,Hatton,Peterhead,AB42 0QQ,01779 841208,3796
31620,4,Mintlaw Group Practice,Newlands Road,Mintlaw,Aberdeenshire,AB42 5GP,01771 624070,8977
31634,17,Peterhead Health Centre,Links Terrace,Peterhead,Aberdeenshire,AB42 2XA,01779 474841,22132
31719,10,Fyvie Oldmeldrum Medical Group,Oldmeldrum Health Centre,Academy Way,Oldmeldrum,AB51 0JZ,01651 872239,8766
31723,11,Turriff Medical Practice,Turriff Health Centre,Balmellie Road,Turriff,AB53 4DQ,0345 3376320,8997
31808,4,Alford Medical Practice,Gordon Road,Alford,Aberdeenshire,AB33 8FL,019755 62253,5789
31812,1,Strathdon Medical Centre,Newe,Strathdon,Aberdeenshire,AB36 8XB,019756 51209,739
31901,12,Ellon Group Practice,Ellon Health Centre,Schoolhill,Ellon,AB41 9AH,0345 337 1150,15677
31916,4,Haddo Medical Group,"Pitmedden Surgery, Tarves Road","Pitmedden, Ellon",Aberdeenshire,AB41 7NX,01651 843468,5296
32001,6,Insch Medical Practice,Insch Health Centre,Rannes Street,Insch,AB52 6JJ,0345 337 6310,6590
32021,21,Inverurie Medical Group,Inverurie Health Centre,Constitution Street,Inverurie,AB51 4SU,0345 337 9911,22329
32035,6,Kemnay Medical Group,Kemnay Medical Centre,Kemnay,Inverurie,AB51 5NB,01467 642289,6226
32092,6,Bydand Medical Group,"Huntly Health Centre, Bleachfield Street",Huntly,Aberdeenshire,AB54 8EX,01466 792116,7896
32110,2,Rhynie Surgery,Manse Road,Rhynie,Aberdeenshire,AB54 4WA,01464861271,1077
32209,13,Skene Medical Group,Skene Healthcare Centre,"Discovery Drive, Arnhall Business Park","Westhill, Aberdeen",AB32 6FG,01224 849400,15311
32290,11,Aboyne Health Centre  Incl. Tarland,Bellwood Road,Aboyne,Aberdeenshire,AB34 5HQ,03453379955,6648
32317,3,Ballater Clinic,13 Provost Craig Road,Ballater,Aberdeenshire,AB35 5NN,013397 55686,1960
32321,2,Braemar Health Clinic,St Andrews Terrace,Braemar,Aberdeenshire,AB35 5WR,013397 41202,572
32341,3,Torphins Medical Practice,St Marnans Road,Torphins,0,AB31 4JQ,013398 82221,1996
32406,16,Banchory Group Practice,Bellfield,Banchory,Aberdeenshire,AB31 5XS,01330 822121,12711
32411,14,Portlethen Medical Centre,Portlethen,Aberdeen,0,AB12 4QP,01224 780223,14996
32425,13,Stonehaven Medical Group,Stonehaven Medical Centre,Robert Street,Stonehaven,AB39 2EL,0345 3371160,13226
32500,2,Auchenblae Medical Centre,Mackenzie Avenue,Auchenblae,Kincardineshire,AB30 1XU,01561320202,1966
32514,5,Inverbervie Medical Group,Inverbervie Medical Centre,Church Street,Inverbervie,DD10 0RU,01561361260,5880
32529,7,Laurencekirk Medical Group,Laurencekirk Healthcare Centre,Blackiemuir Ave,Laurencekirk,AB30 1GX,01561377258,5586
32586,9,Ardach Health Centre,Highfield Road,Buckie,Banffshire,AB56 1JE,01542 831555,9268
32622,6,Seafield & Cullen Medical Group,Barrhill Road,Buckie,Moray,AB56 1FP,01542 835577,5506
32707,9,Linkwood Medical,The Glassgreen Centre,2 Thornhill Drive,Elgin,IV30 6GQ,0345 337 6350,11285
32711,4,Elgin Community Surgery,"Highfield House, Northfield Terrace",Elgin,Morayshire,IV30 1NE,03453379988,5089
32750,3,Fochabers Medical Practice,12 High Street,Fochabers,Morayshire,IV32 7EP,01343 820247,4154
32764,9,Moray Coast Medical Practice,Moray Coast Health Centre,Muirton Road,Lossiemouth,IV31 6HJ,0345 337 1190,10103
32779,14,Maryhill Group Practice  incl. Rothes,Maryhill,Elgin,Moray,IV30 1AT,0345 337 0610,16870
32801,10,Forres Health & Care Centre -Varis,Grantown Road,Forres,Moray,IV36 1JG,0345 3371120,7983
32815,7,Culbin Medical Practice,Grantown Road,Forres,Morayshire,IV36 1JG,0345 3371120,8023
32904,6,Keith Medical Group,Turner Street,Keith,Banffshire,AB55 5DJ,01542 882244,7425
33004,3,Aberlour Health Centre,Queens Road,Aberlour,Banffshire,AB38 9PR,01340 871210,3234
33019,2,Glenlivet Medical Practice,Glenlivet Community Surgery,Drumin,Ballindalloch,AB37 9AN,01807 590273,689
33057,7,Rinnes Medical Group,Mount Street,Dufftown,Moray,AB55 4FJ,01340 820888,2939
GREATER GLASGOW AND CLYDE,1032, , , , , , , 
40008,5,Fulton Street Medical Centre,Fulton Street Surgery,94 Fulton Street,Glasgow,G13 1JE,0141 959 3391,5908
40012,5,Buckingham Terrace Medical Practice,31 Buckingham Terrace,Glasgow,0,G12 8ED,0141 211 6210,9565
40027,4,The Terrace Medical Practice,160 Drymen Road,Bearsden,Glasgow,G61 3RD,0141 942 6644,7261
40031,3,"Drs Eardley, Reid & MacLaren",3 Radnor Street,Glasgow,0,G3 7UA,0141 334 6111,4595
40046,8,Red Wing Medical Practice,Clydebank Health Centre,Kilbowie Road,Clydebank,G81 2TQ,0141 531 6475,9689
40051,9,Anniesland Medical Practice,46 Munro Place,Glasgow,0,G13 2UP,0141 954 8860,8791
40065,4,Old Kilpatrick Medical Practice,Erskine View,Old Kilpatrick,Glasgow,G60 5JG,01389 872575,5176
40070,4,Abingdon Medical Practice,5 Stewartville Street,Glasgow,0,G11 5PE,0141 339 0902,3641
40084,4,Drs MacLean & McCrossan,20 Pennan Place,Glasgow,0,G14 0EA,0141 959 1704,2340
40101,7,Kessington Medical Centre,85 Milngavie Road,Bearsden,Glasgow,G61 2DN,0141 532 8000,6646
40116,7,Kingsway Medical Practice,12 Kingsway Court,Glasgow,0,G14 9SS,0141 959 6000,4345
40121,6,The Broomhill Practice,41 Broomhill Drive,Glasgow,0,G11 7AD,0141 339 3626,5630
40140,8,Northcote Surgery,2 Victoria Circus,Glasgow,0,G12 9LD,0141 339 3211,11766
40154,3,"Drs Crighton, Chapman & Ali",10 Queen's Crescent,Glasgow,0,G4 9BL,0141 332 3526,7436
40173,6,Ashfield Medical Practice,Ashfield House,1 Ashfield Road,Milngavie,G62 6BT,0141 956 1339,7089
40188,1,Dr I. Cullen,130 Hyndland Road,Glasgow,0,G12 9PN,0141 339 1298,2540
40192,2,Gardner Street Surgery,The Surgery,16 Gardner Street,Glasgow,G11 5NG,0141 334 2215,3201
40210,2,Shaftesbury Medical Practice,1265 - 1275 Dumbarton Road,Glasgow,0,G14 9UU,0141 959 5500,1585
40224,7,The Green Medical Practice,Clydebank Health Centre,Kilbowie Road,Clydebank,G81 2TQ,0141 531 6425,8825
40239,4,"Drs Blair, Secrett & Coombs",Denbridge Surgery,"96 Drymen Road, Bearsden",Glasgow,G61 2SY,0141 942 9494,4980
40262,5,Dr Miller & Partners,Clydebank Health Centre,Kilbowie Road,Clydebank,G81 2TQ,0141 531 6410,6387
40277,3,Drs McAlpine & Walker,14 Apsley Street,Glasgow,0,G11 7SY,0141 339 2960,4021
40281,1,Dr Haggerty,250 Drumchapel Road,Glasgow,0,G15 6EG,0141 944 3534,2090
40296,1,Peel Street Medical Centre,11 Peel Street,Glasgow,0,G11 5LL,0141 334 9331,2379
40313,2,The Avenues Medical  Practice,1448 Dumbarton Road,Glasgow,0,G14 9DW,0141 959 2023,1715
40328,3,Dr J Roberts & Dr H Melrose,3 Radnor Street,Glasgow,0,G3 7UA,0141 334 6111,4600
40332,3,Knightswood Medical Practice,1980 Great Western Road,Glasgow,0,G13 2SW,0141 959 1196,4376
40351,2,Dr A P Jackson & Partners,91 Hyndland Road,Hyndland,Glasgow,G12 9JE,0141 339 7869,4987
40385,8,Kersland House Surgery,37 Station Road,Milngavie,0,G62 8BT,0141 956 1005,7768
40390,2,Dr Dickson & Roushdy-Gemie,Yokermill Medical Centre,6 Yokermill Road,Glasgow,G13 4PU,0141 959 2118,2484
40402,3,"Drs Stewart, Boyle & Pilsworth",Denbridge Surgery,"96 Drymen Road, Bearsden",Glasgow,G61 2SY,0141 942 9494,3850
40417,2,Whiteinch Medical Practice,1215 - 1232 Dumbarton Road,Glasgow,0,G14 9UT,0141 211 9045,2536
40421,2,Drs Logan & Macdonald,Drumchapel Health Centre,80/90 Kinfauns Drive,Glasgow,G15 7TS,0141 211 6090,2649
40436,5,Garscadden Burn Medical Practice,Drumchapel Health Centre,80/90 Kinfauns Drive,Glasgow,G15 7TS,0141 211 6100,5138
40441,1,St Georges Medical Centre,137 St Georges Road,Glasgow,0,G3 6JB,0141 333 4790,1958
40455,3,"Drs Crawford, Lawson & MacNeill",Sandyford Surgery,1119 Argyle Street,Glasgow,G3 8ND,0141 248 3698,5856
40460,1,Dr  Khan,Bank Street Surgery,26 Bank Street,Glasgow,G12 8ND,0141 339 5513,2083
40493,3,The Cairntoul Practice,9 Cairntoul Drive,Glasgow,0,G14 0XT,0141 959 5519,2799
40525,2,Yoker Medical Centre,2383 Dumbarton Road,Yoker,Glasgow,G14 0NT,0141 211 6999,4006
40544,4,Drumchapel Medical Practice,Drumchapel Health Centre,80/90 Kinfauns Drive,Glasgow,G15 7TS,0141 211 6080,3092
40559,2,Dr Turnbull & Dr Coyle,Drumchapel Health Centre,80/90 Kinfauns Drive,Glasgow,G15 7TS,0141 211 6110,2662
40563,1,Scotstoun Medical Practice,1483 Dumbarton Road,Glasgow,0,G14 9XL,0141 211 9090,2130
40578,2,Victoria Park Medical Practice,1398 Dumbarton Road,Glasgow,0,G14 9DS,08444 773318,3947
40582,4,The Orange Wing Medical Practice,Clydebank Health Centre,Kilbowie Road,Clydebank,G81 2TQ,0141 531 6440,6306
40629,3,Glasgow West Medical Practice,1264 Dumbarton Road,Glasgow,0,G14 9PS,0141 959 6311,4687
40667,2,Challenging Behaviour Practice,120/130 William Street,Glasgow,0,G3 8UR,11111 111111,42
40691,6,Dr Chalmers & Partners,Clydebank Health Centre,Kilbowie Road,Clydebank,G81 2TQ,0141 531 6490,6747
40703,3,Dr Rai & Partners,Clydebank Health Centre,Kilbowie Road,Clydebank,G81 2TQ,0141 531 6463,3227
40718,1,Ashton Medical Practice,Ashton House,3 Ashton Road,Glasgow,G12 8SP,0141 339 7266,7145
40722,3,Dr M Duffy & Dr A Morgan,Drrumchapel Health Centre,80/90 Kinfauns Drive,Glasgow,G15 7TS,0141 2116120,4449
43011,9,Gairbraid Medical Practice,Maryhill Health Centre,41 Shawpark Street,Glasgow,G20 9DR,0141 531 8840,6195
43030,12,Regent Gardens Medical Centre,18 Union Street,Kirkintilloch,0,G66 1DH,0141 776 1238,9758
43044,5,The Turret Medical Centre,Catherine Street,Kirkintilloch,0,G66 1JB,0141 776 8200,6034
43059,6,Springfield Medical Practice,9 Springfield Road,Bishopbriggs,Glasgow,G64 1PJ,0141 772 4744,8850
43063,2,Dr A. Polding,Springburn Health Centre,200 Springburn Way,Glasgow,G21 1TR,0141 531 9610,2848
43082,3,Dr Burton & Dr Krishnan,Woodside Health Centre,Barr Street,Glasgow,G20 7LR,0141 531 9530,2500
43097,2,Atlas Medical Practice,Springburn Health Centre,200 Springburn Way,Glasgow,G21 1TR,0141 531 9660,2991
43100,9,Southbank Surgery,17/19 Southbank Road,Kirkintilloch,0,G66 1NH,0141 776 2183,7535
43114,7,Peelview Medical Centre,Peel View Medical Centre,45/53 Union Street,Kirkintilloch,G66 1DN,0141 776 3442,10231
43129,3,Drs Ballantyne & Blair,Springburn Health Centre,200 Springburn Way,Glasgow,G21 1TR,0141 531 9670,3418
43133,7,"Drs  Cron, Howat,McKinlay, Legge & Hunter",The Barony Medical Centre,30 Auchinloch Street,Glasgow,G21 4AH,0141 557 6161,5715
43167,7,"Drs West, Kelly, Fitzsimons, Gourlay & Rigg",Woodside Health Centre,Barr Street,Glasgow,G20 7LR,0141 531 9520,5732
43171,8,Kenmure Medical Practice,7 Springfield Road,Bishopbriggs,Glasgow,G64 1PJ,0141 772 6309,7541
43186,3,Dr Love & Partners,Woodside Health Centre,Barr Street,Glasgow,G20 7LR,0141 531 9560,6094
43191,3,Drs Gaw & Esler,Woodside Health Centre,Barr Street,Glasgow,G20 7LR,0141 531 9500,3263
43203,3,Kelvin Medical Centre,96 Napiershall Street,Glasgow,0,G20 6HS,0141 211 9597,4042
43218,6,"Drs Glekin, Sutherland & Mabon",Woodside Health Centre,Barr Street,Glasgow,G20 7LR,0141 531 9550,5859
43222,4,Auchinairn Medical Practice,127/129 Auchinairn Road,Bishopbriggs,Glasgow,G64 1NF,0141 772 1808,6767
43237,5,Keppoch Medical Practice,Possilpark Health & Care Centre,99 Saracen Street,Glasgow,G22 5AP,0141 800 0840,3360
43256,3,Balmore Surgery,Possilpark Health & Care Centre,99 Saracen Street,Glasgow,G22 5AP,0141 800 0800,3514
43261,2,Lennoxtown Medical Practice,Lennoxtown Hub,46 Main Street,Lennoxtown,G66 7JJ,01360 327300,3123
43275,2,Drs Lafferty & Meek,Wallacewell Medical Centre,264 Wallacewell Road,Glasgow,G21 3RW,0141 558 6178,2740
43294,4,"Drs Craig, Douglas, Cherry & Mckean",191 Denmark Street,Glasgow,0,G22 5SS,0141 336 8038,4076
43307,2,Dr Pamela Geddes & Dr Gordon Campbell,Milton Medical Centre,"109 Egilsay Street, Milton",Glasgow,G22 7JL,0141 772 1183,2913
43311,5,The Maryhill Red Practice,Maryhill Health Centre,41 Shawpark Street,Glasgow,G20 9DR,0141 531 8830,5853
43326,3,Fernbank Medical Centre,194 Fernbank Street,Glasgow,0,G22 6BD,0141 435 1500,5642
43345,3,"Drs M Buchanan, D Murphy & S Ness",Park Surgery,10 Saramago Street,Kirkintilloch,G66 3BF,0141 776 2468,3656
43415,2,Drs Davda & McGroarty,York Place Surgery,10 Union Street,Kirkintilloch,G66 1DG,0141 776 1273,2072
43453,2,Dr Webster & Partners,Woodside Health Centre,Barr Street,Glasgow,G20 7LR,0141 531 9570,6534
43487,1,Dr R.T.A. Boyle,Springburn Health Centre,200 Springburn Way,Glasgow,G21 1TR,0141 531 9600,1289
43504,6,"Drs Harris, Milburn, Brown, Candy & Gourlay",Springburn Health Centre,200 Springburn Way,Glasgow,G21 1TR,0141 531 9630,6620
43538,1,Dr S J Langridge,Possilpark Health & Care Centre,99 Saracen Street,Glasgow,G22 5AP,0141 800 0860,2313
43542,2,Dr Luis Alguero,Possilpark Health & Care Centre,99 Saracen Street,Glasgow,G22 5AP,0141 800 0820,2495
43557,1,Dr Paul Lyons,Brackenbrae Surgery,"91 Kirkintilloch Road, Bishopbriggs",Glasgow,G64 2AA,0141 772 2241,1883
43576,19,Barclay Medical Practice,Maryhill Health Centre,41 Shawpark Street,Glasgow,G20 9DR,0141 531 8811,32362
46019,7,Townhead Medical Practice,Townhead Health Centre,16 Alexandra Parade,Glasgow,G31 2ES,0141 531 8945,10718
46023,2,Dr A.Ali & Dr A.M.Mackenzie,Bridgeton Health Centre,201 Abercromby Street,Glasgow,G40 2DA,0141 531 6620,2831
46057,6,Drs Ryan &  McAlavey,Glenmill Medical Centre,1191 Royston Road,Glasgow,G33 1EY,0141 770 4052,6680
46061,5,Parade Group Practice,Townhead Health Centre,16 Alexandra Parade,Glasgow,G31 2ES,0141 531 8970,13563
46081,9,The Cairns Practice,Shettleston Health Centre,420 Old Shettleston Road,Glasgow,G32 7JZ,0141 531 6220,9335
46095,2,Drs Mckenzie & Burns,Parkhead Health Centre,101 Salamanca Street,Glasgow,G31 5BA,0141 531 9070,3199
46108,2,Dr Raymond Orr & Partners,214 Meadowpark Street,Glasgow,0,G31 2TE,0141 554 0464,3573
46112,3,"Drs Lam, Macbeth &  Wilson",Gilbertfield Medical Centre,67 Gilbertfield Street,Glasgow,G33 3TU,0141 774 5987,4916
46127,2,Annfield Medical Centre,16 Annfield Place,Glasgow,0,G31 2XE,0141 554 2989,2326
46131,3,Crail Medical Practice,245 Tollcross Road,Glasgow,0,G31 4UW,0141 554 3199,4246
46146,3,Carntyne Medical Centre,275 Carntyne Road,Glasgow,0,G32 6JP,0141 531 9060,4118
46151,1,Dr M Khan,12/14 Tullis Street,Glasgow,0,G40 1HN,0141 531 6595,1364
46165,3,Dr S Ross,Shettleston Health Centre,420 Old Shettleston Road,Glasgow,G32 7JZ,0141 531 6250,3675
46184,7,Main Street Medical Centre,40 Main Street,Glasgow,0,G40 1HA,0141 953 5600,6390
46201,3,Dr O'Neil & Partners,Lightburn Medical Centre,930 Carntyne Road,Glasgow,G32 6NB,0141 778 0440,3044
46216,10,McGlone Practice,Baillieston Health Centre,"20 Muirside Road, Baillieston",Glasgow,G69 7AD,0141 531 8050,13236
46221,4,"Drs Andersen, Dawson, Mutch & Smith",Easterhouse Health Centre,9 Auchinlea Road,Glasgow,G34 9HQ,0141 531 8180,4847
46235,4,"Drs Lafferty, Macphee,  Dames & Smith",Parkhead Health Centre,101 Salamanca Street,Glasgow,G31 5BA,0141 531 9050,4688
46240,1,Dr D.S.Dhami,Easterhouse Health Centre,9 Auchinlea Road,Glasgow,G34 9HQ,0141 531 8160,1687
46292,3,Dr Mccallum & Dr  Gardiner,Lightburn Medical Centre,930 Carntyne Road,Glasgow,G32 6NB,0141 764 1666,3492
46305,4,The Muirside Medical Practice,Baillieston Health Centre,"20 Muirside Road, Baillieston",Glasgow,G69 7AD,0141 531 8040,7320
46339,3,Westmuir Medical Centre,The Westmuir Medical Practice,109 Crail Street,Glasgow,G31 5RA,0141 554 4253,3946
46343,7,Tollcross Medical Centre,1101-1105 Tollcross Road,Glasgow,0,G32 8UH,0141 778 2717,7340
46377,1,Dr G B Strain,804 Cumbernauld Road,Riddrie,Glasgow,G33 2EH,0141 770 5234,1448
46381,3,Drs Day & Churches,Bridgeton Health Centre,201 Abercromby Street,Glasgow,G40 2DA,0141 531 6610,2620
46396,2,Dr M P Hamayun & Dr M R Masood,Bridgeton Health Centre,201 Abercromby Street,Glasgow,G40 2DA,0141 531 6666,1556
46428,2,Drs Connaughton & Sudomir,Bridgeton Health Centre,201 Abercromby Street,Glasgow,G40 2DA,0141 550 3822,4416
46447,1,Dr M Saleem,Bridgeton Health Centre,201 Abercromby Street,Glasgow,G40 2DA,0141 531 6670,1395
46451,9,Newhills Medical Practice,Easterhouse Health Centre,9 Auchinlea Road,Glasgow,G34 9HQ,0141 531 8170,9571
46471,4,"Dr Wilson, Dr Mcginley & Dr Sheppard",Easterhouse Health Centre,9 Auchinlea Road,Glasgow,G34 9HQ,0141 531 8150,2557
46521,3,"Drs Cheung, Al-Agilly & Morgan",463 Edinburgh Road,Glasgow,0,G33 3AL,0141 770 4044,5701
46555,4,Abercromby Practice,Bridgeton Health Centre,201 Abercromby Street,Glasgow,G40 2DA,01415316630,3856
46560,5,The Whitevale Medical Group,30 Whitevale Street,Glasgow,0,G31 1QS,0141 554 4536,5242
46574,1,Dalmarnock Family Medical Practice,Bridgeton Health Centre,201 Abercromby Street,Glasgow,G40 2DA,0141 531 6600,1386
46589,2,Homeless Health & Resource Services,55 Hunter Street,Glasgow,0,G4 0UP,0141 553 2801,177
46606,3,"Drs Dunn, Lynas & Rodgers",Bridgeton Health Centre,201 Abercrombie Street,Glasgow,G40 2DA,0141 531 6640,3383
46611,3,"Dr Ansari, Dr Kapadia & Dr Khan Practice",Bridgeton Health Centre,201 Abercromby Street,Glasgow,G40 2DA,0141-531-6650,2061
49041,7,Practice B,Govanhill Health Centre,233 Calder Street,Glasgow,G42 7DR,0141 531 8370,11429
49074,2,Drs Mills & Marshall Practice,Gorbals Health Centre,45 Pine Place,Glasgow,G5 0BQ,0141 531 8250,2879
49093,2,Dr Akhtar & Dr Kousar,660 Eglinton Street,Glasgow,0,G5 9RP,0141 429 1421,2574
49106,8,"Drs McEvinney, Wright,  McLaughlin & Levine",44 Croftfoot Road,Glasgow,0,G44 5JT,0141 634 6333,7277
49130,3,Drs McGivern & Murthy,148 Battlefield Road,Glasgow,0,G42 9JT,0141 632 6310,4732
49144,8,Dr W McKean & Partners,162 Nithsdale Road,Glasgow,0,G41 5RU,0141 424 1831,10158
49159,4,"Drs Boardman, King, Earl & Boyd",75 Busby Road,Clarkston,Glasgow,G76 7BW,0141 644 2668,6327
49178,4,Dr K.S. Chiah & Partners,Govanhill Health Centre,233 Calder Street,Glasgow,G42 7DR,0141 531 8385,5918
49197,1,Sheddens Medical Practice,The Sheddens Medical Practice,"5a Eaglesham Road, Clarkston",Glasgow,G76 7BU,0141 644 2356,2062
49200,4,"Drs Geddes, Turner & O'Brien",123 Kilmarnock Road,Glasgow,0,G41 3YT,0141 649 6231,4911
49214,3,"Drs Morrice, Masson & Geddes",75 Busby Road,Clarkston,Glasgow,G76 7BW,0141 6442666,6723
49248,2,Merrylee Medical Centre,142 Clarkston Road,Glasgow,0,G44 3DH,0141 633 2345,3944
49267,4,Butterbiggins Medical Centre,134 Butterbiggins Road,Glasgow,0,G42 7AF,0141 423 1398,4823
49271,5,"Drs Leslie, McNicol, Boyd & Stevenson",Shawlands Surgery,1413 Pollokshaws Road,Glasgow,G41 3RG,0141 632 9141,5333
49286,1,Queens Park Medical Practice,181 Queen's Drive,Glasgow,0,G42 8QD,0141 423 3474,2787
49318,2,The MacLeod Practice,9 Baker Street,Glasgow,0,G41 3YE,0141 632 4962,1793
49337,8,Mearns Medical Centre,30 Maple Avenue,Newton Mearns,Glasgow,G77 5BQ,0141 639 2753,11694
49375,1,Dr Linda J Wright,Toryglen Medical Centre,20 Glenmore Avenue,Glasgow,G42 0EH,0141 647 3020,1773
49411,1,Dr M.M. Sharif,Kings Park Surgery,274 Kings Park Avenue,Glasgow,G44 4JE,0141 414 6900,1618
49445,3,"Drs Frame, Cooper & Hamilton",261 Fenwick Road,Giffnock,Glasgow,G46 6JX,0844 477 1898,5029
49464,2,Broomburn Medical Centre,257 Mearns Road,Newton Mearns,Glasgow,G77 5LU,0141 639 3644,2823
49553,5,"Drs Fitchett, Barr & Rennie",Grantley Medical Practice,1 Grantley Street,Glasgow,G41 3PT,0141 632 4698,4505
49568,2,Greenlaw Medical Practice,"Unit 3, 3 Greenlaw Place",0,Newton Mearns,G77 6GR,0141 639 8833,3939
49604,5,"Drs Gordon, Best & McIntyre",Gorbals Health Centre,45 Pine Place,Glasgow,G5 0BQ,0141 531 8290,6090
49619,2,Elmwood Medical Practice,3 Elmwood Avenue,Newton Mearns,Glasgow,G77 6EH,0141 639 2478,3192
49623,7,Carolside Medical Centre,1/2 Carolside Gardens,Clarkston,Glasgow,G76 7BX,0141 644 3511,8209
49638,8,The Maclean Medical Practice,30 Gilmour Street,Eaglesham,Glasgow,G76 0AT,01355 302221,8423
49661,2,The Shields Centre,80 McCulloch Street,Glasgow,0,G41 1NX,0141 800 7320,4561
49676,2,Regency Medical Practice,80 McCulloch Street,Pollockshields,Glasgow,G41 1NX,0141 800 7310,3102
49681,8,Mount Florida Medical Centre,183 Prospecthill Road,0,Glasgow,G42 9LQ,0141 632 4004,8474
49712,1,Dr I A Hussain,The Park Surgery,7 Baker Street,Glasgow,G41 3YA,0141 632 0203,1968
49751,7,Castlemilk Group Practice,Castlemilk Health Centre,71 Dougrie Drive,Glasgow,G45 9AW,0141 531 8585,10385
49765,7,The Ker Practice,30 Croftfoot Road,Glasgow,0,G44 5JT,0141 531 8600,10496
49770,3,Kingspark Surgery,274 Kings Park Avenue,Glasgow,0,G44 4JE,0141 632 1824,4557
49784,8,Williamwood Practice,85 Seres Road,Clarkston,Glasgow,G76 7NW,0141 620 0333,9666
52005,8,Midlock Medical Centre,7 Midlock Street,Glasgow,0,G51 1SL,0141 427 4271,8412
52010,2,Drs MacCuish & Kakar,59 Farne Drive,Glasgow,0,G44 5DQ,0141 637 9828,1746
52024,5,Thurston Road Medical Practice,140 Thurston Road,Glasgow,0,G52 2AZ,0141 883 8838,3812
52039,5,"Drs Fellows,  Fraser & Carse",Govanhill Health Centre,233 Calder Street,Glasgow,G42 7DR,0141 531 8361,5739
52043,6,Braidcraft Medical Centre,200 Braidcraft Road,Glasgow,0,G53 5QD,0141 882 3396,6532
52058,6,The Crescent Medical Practice,12 Walmer Crescent,Glasgow,0,G51 1AT,0141 427 0191,5321
52062,7,The David Elder Medical Practice,Govan Health Centre,5 Drumoyne Road,Glasgow,G51 4BJ,0141 531 8470,5770
52096,6,"Drs Cameron, Herron, Marshall & Ratter",Govan Health Centre,5 Drumoyne Road,Glasgow,G51 4BJ,0141 531 8460,4741
52109,2,Drs Chita & Hayes,Ibroxholm Medical Centre,532 Paisley Road West,Glasgow,G51 1RN,0141 427 2504,3067
52128,11,Dr Ferguson & Partners,Arran GP Surgery,40 Admiral Street,Glasgow,G41 1HU,0141 429 2626,10222
52147,1,Dr Raheela Bhatti,74 Kyleakin Road,Arden,Glasgow,G46 8DH,0141 638 1464,1380
52151,4,Waverley Park Medical Practice,19 Dinmont Road,Glasgow,0,G41 3UJ,0141 632 8883,4409
52185,2,Drs Hilary Mcnaughtan &  Patrick J O'Neill,Cardonald Medical Centre,1831 Paisley Road West,Glasgow,G52 3SS,0141 211 6660,3520
52202,4,"Drs Shields, Dale & Blackwood",Rutland Surgery,24 Govan Road,Glasgow,G51 1HS,0141 418 1080,3576
52217,1,Dr Mckeeve,Kinning Park Medical Centre(Ailsa),42 Admiral Street,Glasgow,G41 1HU,0141 429 0913,2246
52221,4,"Drs Quigley, Canning, Dorward & Wedlock",Thornliebank Health Centre,20 Kennishead Road,Glasgow,G46 8NY,0141 531 6999,5866
52241,3,"Dr Mair, Dr Pettigrew & Dr Martin",1600-1604 Paisley Road West,Ibrox,Glasgow,G52 3QN,0141 882 4567,5362
52255,7,Drs McColl & McLaughlin,Thornliebank Health Centre,20 Kennishead Road,Glasgow,G46 8NY,0141 531 6901,6961
